k,head,program,strategy,increase,spike
1,"(0, 2)",previous_attention,smart,-0.09043602060019415,False
2,"(0, 3)",previous_attention,smart,0.06704341726063061,False
3,"(0, 0)",parenthetical_insertion,smart,0.01637214733914947,False
4,"(0, 1)",parenthetical_insertion,smart,0.014596391349010408,False
5,"(0, 4)",parenthetical_insertion,smart,-0.008068680120924477,False
6,"(0, 5)",parenthetical_insertion,smart,-0.1524395099612752,False
7,"(0, 6)",parenthetical_insertion,smart,-0.08120068268191342,False
8,"(0, 8)",parenthetical_insertion,smart,0.0023762308522699673,False
9,"(0, 7)",parenthetical_insertion,smart,-0.0055398403068005475,False
10,"(0, 9)",relative_position_attention,smart,-0.5153090125630215,False
11,"(0, 11)",relative_position_attention,smart,-0.2095726428005425,False
12,"(0, 10)",next_attention,smart,0.684848448356448,False
13,"(1, 2)",relative_position_attention,smart,0.5304641379460807,False
14,"(1, 1)",next_attention,smart,6.1854200781858655,False
15,"(1, 4)",previous_attention,smart,14.667593027280509,False
16,"(1, 0)",relative_position_attention,smart,15.009910586565386,False
17,"(1, 3)",relative_position_attention,smart,15.407833434657118,False
18,"(1, 7)",appositive_phrase_attention,smart,15.455568387779545,False
19,"(1, 5)",relative_position_attention,smart,15.601524794106913,False
20,"(1, 9)",relative_position_attention,smart,15.98164130705004,False
21,"(1, 8)",relative_position_attention,smart,16.146329972621004,False
22,"(2, 1)",sentence_level_attention,smart,17.187608736468597,False
23,"(1, 10)",sentence_position_preference,smart,17.458013977493515,False
24,"(2, 2)",sentence_level_attention,smart,19.160137135263433,False
25,"(2, 3)",relative_position_attention,smart,21.052255364371497,False
26,"(1, 11)",relative_position_attention,smart,22.166794377163658,False
27,"(2, 4)",relative_position_attention,smart,22.786738313081592,False
28,"(2, 5)",relative_position_attention,smart,23.77045175979136,False
29,"(2, 6)",lexical_diversity_focus,smart,23.714165128055377,False
30,"(2, 8)",relative_position_attention,smart,25.60978084849635,False
31,"(2, 7)",relative_position_attention,smart,27.1877313233933,False
32,"(2, 10)",relative_position_attention,smart,30.72993246130689,False
33,"(3, 1)",relative_position_attention,smart,30.519047749393838,False
34,"(3, 2)",relative_position_attention,smart,29.624336024250937,False
35,"(3, 0)",relative_position_attention,smart,29.46748660814318,False
36,"(3, 4)",relative_position_attention,smart,29.79041333988983,False
37,"(3, 3)",relative_position_attention,smart,33.1835873095934,False
38,"(2, 11)",appositive_phrase_attention,smart,35.50082472483342,False
39,"(3, 9)",next_attention,smart,84.55628653735084,False
40,"(3, 8)",relative_position_attention,smart,82.5217676571365,False
41,"(3, 7)",relative_position_attention,smart,84.15915265274175,False
42,"(3, 6)",relative_position_attention,smart,85.11815081136335,False
43,"(3, 10)",relative_position_attention,smart,86.11610297275091,False
44,"(4, 1)",parenthetical_insertion,smart,85.94992895552502,False
45,"(4, 0)",emphasize_verbs_and_objects,smart,86.31127899867712,False
46,"(3, 11)",sentence_position_preference,smart,103.65311640168525,False
47,"(4, 4)",emphasize_verbs_and_objects,smart,105.47424048729144,False
48,"(4, 2)",emphasize_verbs_and_objects,smart,113.11570047768892,False
49,"(4, 3)",emphasize_verbs_and_objects,smart,111.46313978343252,False
50,"(4, 7)",emphasize_verbs_and_objects,smart,114.88065470667462,False
51,"(4, 5)",emphasize_verbs_and_objects,smart,129.41779354134655,False
52,"(4, 6)",emphasize_verbs_and_objects,smart,132.682917452175,False
53,"(4, 8)",emphasize_verbs_and_objects,smart,132.4962002419544,False
54,"(5, 0)",emphasize_verbs_and_objects,smart,135.07577820101446,False
55,"(4, 9)",relative_position_attention,smart,137.9083341603138,False
56,"(5, 1)",emphasize_verbs_and_objects,smart,137.67528574457097,False
57,"(4, 10)",emphasize_verbs_and_objects,smart,145.8250050354235,False
58,"(5, 2)",emphasize_verbs_and_objects,smart,144.34762000311588,False
59,"(5, 3)",emphasize_verbs_and_objects,smart,156.05557739933656,False
60,"(5, 4)",relative_position_attention,smart,153.63575629223413,False
61,"(5, 6)",emphasize_verbs_and_objects,smart,173.14989364976853,False
62,"(5, 7)",emphasize_verbs_and_objects,smart,179.47788236985568,False
63,"(5, 10)",coordination_attention,smart,203.26854894587717,False
64,"(5, 8)",sentence_initial_dominance,smart,231.91981567891062,False
65,"(6, 0)",emphasize_verbs_and_objects,smart,244.65840266247673,False
66,"(5, 11)",emphasize_verbs_and_objects,smart,261.3082365325962,False
67,"(6, 1)",emphasize_verbs_and_objects,smart,299.7201156500481,False
68,"(5, 5)",emphasize_verbs_and_objects,smart,315.9207132448607,False
69,"(6, 2)",emphasize_verbs_and_objects,smart,336.699690039252,False
70,"(6, 5)",sentence_initial_dominance,smart,337.5091229253192,False
71,"(6, 3)",emphasize_verbs_and_objects,smart,347.984039978052,False
72,"(6, 7)",relative_position_attention,smart,340.7067565933487,False
73,"(6, 8)",emphasize_verbs_and_objects,smart,309.00984080040223,False
74,"(6, 6)",emphasize_verbs_and_objects,smart,327.8195548680327,False
75,"(6, 4)",emphasize_verbs_and_objects,smart,342.6323404783416,False
76,"(7, 0)",relative_position_attention,smart,354.3512720655222,False
77,"(6, 9)",emphasize_verbs_and_objects,smart,393.807582982961,False
78,"(7, 2)",emphasize_verbs_and_objects,smart,398.77753293379936,False
79,"(7, 1)",emphasize_verbs_and_objects,smart,421.4823089481962,False
80,"(7, 3)",emphasize_verbs_and_objects,smart,450.62723670495006,False
81,"(7, 5)",emphasize_verbs_and_objects,smart,455.4498746670973,False
82,"(7, 8)",punctuation_attention,smart,479.62361558921947,False
83,"(7, 7)",emphasize_verbs_and_objects,smart,495.7379710582457,False
84,"(7, 10)",emphasize_verbs_and_objects,smart,514.0359157790065,False
85,"(7, 6)",emphasize_verbs_and_objects,smart,545.9249269085412,False
86,"(8, 0)",emphasize_verbs_and_objects,smart,558.0838604402792,False
87,"(7, 11)",emphasize_verbs_and_objects,smart,565.6192418047494,False
88,"(8, 1)",emphasize_verbs_and_objects,smart,577.91821657991,False
89,"(8, 4)",emphasize_verbs_and_objects,smart,626.7782068503567,False
90,"(8, 2)",emphasize_verbs_and_objects,smart,625.0813533659622,False
91,"(8, 3)",emphasize_verbs_and_objects,smart,668.7032983475103,False
92,"(8, 6)",emphasize_verbs_and_objects,smart,718.5821205155859,False
93,"(8, 7)",relative_position_attention,smart,732.0164404455015,False
94,"(8, 10)",emphasize_verbs_and_objects,smart,779.3278109604792,False
95,"(8, 9)",relative_position_attention,smart,799.709433672253,False
96,"(9, 2)",relative_position_attention,smart,817.3401735912703,False
97,"(8, 8)",relative_position_attention,smart,821.9082228255471,False
98,"(9, 3)",emphasize_verbs_and_objects,smart,867.2936109534446,False
99,"(9, 1)",emphasize_verbs_and_objects,smart,914.2632547792276,False
100,"(9, 10)",relative_position_attention,smart,929.2892019390798,False
101,"(9, 5)",relative_position_attention,smart,942.2553571051567,False
102,"(9, 0)",emphasize_verbs_and_objects,smart,949.9791488696159,False
103,"(9, 8)",relative_position_attention,smart,966.7797674168863,False
