k,head,program,strategy,increase,kl_div,spike
1,"(8, 11)",cls_attention,smart,-0.17227725321875917,0.00034157423069700597,False
2,"(15, 16)",cls_attention,smart,-0.26678916849501855,0.0009447879157960415,False
3,"(15, 20)",cls_attention,smart,-0.223942385519115,0.0015490090823732316,False
4,"(16, 28)",cls_attention,smart,0.26344152590076614,0.002337226481176913,False
5,"(11, 8)",cls_attention,smart,0.07374925729070592,0.0029579791822470724,False
6,"(11, 3)",initial_element_reinforcement,smart,0.3185666610481326,0.003078665374778211,False
7,"(11, 11)",initial_element_reinforcement,smart,0.17656395018625726,0.004092610022053122,False
8,"(8, 9)",cls_attention,smart,0.18184466016032672,0.004607919603586197,False
9,"(6, 25)",initial_element_reinforcement,smart,-0.05594325980379437,0.004752309573814273,False
10,"(14, 13)",initial_element_reinforcement,smart,-0.20997585436946573,0.005084340320900082,False
11,"(20, 29)",sentence_beginning_salience,smart,0.1570941370690778,0.005802056100219488,False
12,"(15, 21)",initial_element_reinforcement,smart,0.5430649807667607,0.005519111407920718,False
13,"(3, 4)",sentence_beginning_salience,smart,0.5180736554206928,0.005686548305675387,False
14,"(15, 19)",initial_element_reinforcement,smart,0.2736474955676969,0.005450914474204182,False
15,"(11, 15)",sentence_beginning_salience,smart,0.5291251638464498,0.007585793826729059,False
16,"(15, 8)",initial_element_reinforcement,smart,0.502692491301056,0.008887401223182679,False
17,"(20, 16)",sentence_beginning_salience,smart,0.3748563284170504,0.009243301767855882,False
18,"(3, 0)",sentence_beginning_salience,smart,0.38331684880659256,0.01008056253194809,False
19,"(9, 0)",sentence_beginning_salience,smart,0.5964746613046583,0.011480969004333019,False
20,"(18, 21)",sentence_beginning_salience,smart,0.8453339217587548,0.012131844740360975,False
21,"(4, 8)",sentence_beginning_salience,smart,0.8737579281187633,0.012350669503211975,False
22,"(18, 30)",sentence_beginning_salience,smart,0.7695620670596003,0.012306240666657687,False
23,"(18, 7)",sentence_beginning_salience,smart,1.0511203918458665,0.014099042396992445,False
24,"(3, 7)",sentence_beginning_salience,smart,1.5084570395311636,0.014811672270298004,False
25,"(8, 14)",sentence_beginning_salience,smart,1.7842877046251453,0.015645113494247197,False
26,"(19, 11)",sentence_beginning_salience,smart,1.5111575243674076,0.016240609250962733,False
27,"(3, 1)",sentence_beginning_salience,smart,1.6406926950391938,0.014547124691307544,False
28,"(8, 12)",initial_element_reinforcement,smart,1.5448351967547969,0.013705815374851226,False
29,"(18, 5)",sentence_beginning_salience,smart,1.6567811187215196,0.015316738747060299,False
30,"(19, 8)",sentence_beginning_salience,smart,1.4019447666032785,0.016862763091921806,False
31,"(20, 8)",sentence_beginning_salience,smart,1.4331612165504926,0.01720807272940874,False
32,"(15, 18)",sentence_beginning_salience,smart,1.7087136971899952,0.017963951267302037,False
33,"(5, 13)",sentence_beginning_salience,smart,1.9404089547407746,0.01756624858826399,False
34,"(17, 3)",sentence_beginning_salience,smart,2.046198802296584,0.018285921216011046,False
35,"(8, 25)",sentence_beginning_salience,smart,2.161499763462777,0.01895007025450468,False
36,"(15, 10)",sentence_beginning_salience,smart,1.8458454715683963,0.01953587792813778,False
37,"(21, 25)",sentence_beginning_salience,smart,1.6803474128938696,0.020300287194550036,False
38,"(21, 6)",sentence_beginning_salience,smart,1.6260393401946005,0.020565415918827056,False
39,"(8, 27)",sentence_beginning_salience,smart,1.5512987051604654,0.02122588288038969,False
40,"(17, 2)",sentence_beginning_salience,smart,2.059752418460408,0.02240994442254305,False
41,"(17, 0)",sentence_beginning_salience,smart,2.5528432862243298,0.022892072424292566,False
42,"(4, 28)",sentence_beginning_salience,smart,3.1449341667867303,0.02319839783012867,False
43,"(4, 17)",sentence_beginning_salience,smart,2.714628133793455,0.022216778807342054,False
44,"(18, 1)",sentence_beginning_salience,smart,2.723322599582281,0.023031143471598625,False
45,"(17, 1)",sentence_beginning_salience,smart,2.7048494024047485,0.024595277197659016,False
46,"(19, 9)",sentence_beginning_salience,smart,2.798788034365928,0.02544478848576546,False
47,"(19, 12)",sentence_beginning_salience,smart,2.731029404905038,0.02657405287027359,False
48,"(5, 16)",sentence_beginning_salience,smart,2.562749529902776,0.027509873360395433,False
49,"(17, 4)",sentence_beginning_salience,smart,2.638569914259856,0.027013210207223894,False
50,"(8, 21)",sentence_beginning_salience,smart,2.590026114022396,0.02713329643011093,False
51,"(3, 5)",sentence_beginning_salience,smart,2.4650922330675606,0.02736660949885845,False
52,"(3, 6)",sentence_beginning_salience,smart,2.8322494080278044,0.02782241776585579,False
53,"(4, 31)",sentence_beginning_salience,smart,2.6845574624901842,0.027876793593168258,False
54,"(4, 4)",sentence_beginning_salience,smart,2.346606971747648,0.028517764061689377,False
55,"(20, 10)",sentence_beginning_salience,smart,2.1442786049482256,0.029176288470625877,False
56,"(11, 7)",sentence_beginning_salience,smart,2.399047671239026,0.03127275295555591,False
57,"(5, 20)",sentence_beginning_salience,smart,2.191767447005043,0.032145869359374045,False
58,"(4, 25)",sentence_beginning_salience,smart,2.1195645649557155,0.03422197550535202,False
59,"(5, 15)",sentence_beginning_salience,smart,2.2709778417230297,0.034990790858864786,False
60,"(21, 1)",sentence_beginning_salience,smart,2.1731565429284063,0.035231302678585055,False
61,"(5, 14)",sentence_beginning_salience,smart,2.5522482590315887,0.03507283180952072,False
62,"(19, 17)",sentence_beginning_salience,smart,2.7589311771032086,0.039583895727992056,False
63,"(7, 24)",sentence_beginning_salience,smart,3.0616539199463566,0.04308346584439278,False
64,"(20, 13)",sentence_beginning_salience,smart,3.3317869993653972,0.04370498731732368,False
65,"(3, 16)",sentence_beginning_salience,smart,3.5468927876623555,0.04346626959741116,False
66,"(14, 15)",sentence_beginning_salience,smart,3.8438913008426416,0.04293714985251427,False
67,"(6, 15)",sentence_beginning_salience,smart,3.913888110011513,0.04193185120820999,False
68,"(4, 12)",sentence_beginning_salience,smart,3.9323152710727927,0.04265487864613533,False
69,"(6, 11)",sentence_beginning_salience,smart,4.005171677303051,0.04571785889565945,False
70,"(11, 6)",sentence_beginning_salience,smart,4.653236584062677,0.044748660176992416,False
71,"(19, 6)",sentence_beginning_salience,smart,4.841689738811863,0.04627655521035194,False
72,"(3, 2)",sentence_beginning_salience,smart,4.729905382157604,0.045008009672164916,False
73,"(10, 16)",sentence_beginning_salience,smart,4.973066296965489,0.049308960884809495,False
74,"(8, 18)",sentence_beginning_salience,smart,5.029952353452972,0.04878063127398491,False
75,"(17, 22)",sentence_beginning_salience,smart,4.726000571145713,0.046257782727479935,False
76,"(19, 25)",sentence_beginning_salience,smart,4.8266130278388975,0.048966873437166214,False
77,"(17, 12)",sentence_beginning_salience,smart,4.5886620563092535,0.050300410389900206,False
78,"(17, 15)",sentence_beginning_salience,smart,5.07888761616274,0.051142027229070665,False
79,"(18, 4)",sentence_beginning_salience,smart,5.192012110933602,0.05007035136222839,False
80,"(8, 15)",sentence_beginning_salience,smart,5.416389782257392,0.05169867277145386,False
81,"(7, 0)",sentence_beginning_salience,smart,5.63983846476252,0.05250286236405373,False
82,"(18, 23)",sentence_beginning_salience,smart,5.262295354365716,0.05182545930147171,False
83,"(19, 15)",sentence_beginning_salience,smart,4.8133812246757,0.05163882076740265,False
84,"(8, 17)",sentence_beginning_salience,smart,4.744350404942752,0.05563449263572693,False
85,"(5, 9)",sentence_beginning_salience,smart,5.233619339504067,0.05862320959568024,False
86,"(21, 23)",sentence_beginning_salience,smart,5.1488079968466876,0.058963922411203386,False
87,"(16, 13)",sentence_beginning_salience,smart,5.218079057111251,0.06383823454380036,False
88,"(8, 19)",sentence_beginning_salience,smart,5.06914915283885,0.06429929286241531,False
89,"(4, 9)",sentence_beginning_salience,smart,5.194412864704647,0.06886721923947334,False
90,"(5, 22)",sentence_beginning_salience,smart,5.661049396164415,0.06798324286937714,False
91,"(12, 5)",sentence_beginning_salience,smart,5.60260563052245,0.07212826386094093,False
92,"(11, 1)",sentence_beginning_salience,smart,5.854048153704747,0.07707483619451523,False
93,"(15, 17)",sentence_beginning_salience,smart,5.714359263524687,0.07659213244915009,False
94,"(18, 19)",sentence_beginning_salience,smart,5.806558077718674,0.07752039730548858,False
95,"(15, 15)",sentence_beginning_salience,smart,6.107894052190831,0.07649086266756058,False
96,"(4, 23)",sentence_beginning_salience,smart,5.892703259349325,0.07706537544727325,False
97,"(6, 3)",sentence_beginning_salience,smart,5.947054286680087,0.07670864984393119,False
98,"(19, 13)",sentence_beginning_salience,smart,6.303604206098362,0.08028682172298432,False
99,"(7, 25)",sentence_beginning_salience,smart,6.660574808331996,0.08207791969180107,False
100,"(6, 17)",sentence_beginning_salience,smart,6.775132055626528,0.08116751909255981,False
101,"(16, 30)",sentence_beginning_salience,smart,7.097846699221099,0.08354435861110687,False
102,"(7, 14)",sentence_beginning_salience,smart,7.6264531373199755,0.0969615638256073,False
103,"(18, 6)",sentence_beginning_salience,smart,7.7715595681404706,0.09508215188980103,False
104,"(4, 27)",sentence_beginning_salience,smart,7.9168491007941855,0.0934919461607933,False
105,"(5, 25)",sentence_beginning_salience,smart,8.65728593237696,0.09258064180612564,False
106,"(17, 21)",sentence_beginning_salience,smart,9.098252133123015,0.0952935665845871,False
107,"(6, 0)",sentence_beginning_salience,smart,9.502681033870454,0.09954358339309692,False
108,"(5, 29)",sentence_beginning_salience,smart,9.802313373418219,0.10572613924741744,False
109,"(4, 29)",sentence_beginning_salience,smart,10.284782184248936,0.1080048069357872,False
110,"(4, 5)",sentence_beginning_salience,smart,10.85291733974397,0.10667213797569275,False
111,"(8, 26)",sentence_beginning_salience,smart,10.780028144173466,0.10037178248167038,False
112,"(8, 13)",sentence_beginning_salience,smart,10.246107793053326,0.1007090911269188,False
113,"(4, 20)",sentence_beginning_salience,smart,10.092458310110837,0.10416770726442337,False
114,"(6, 13)",sentence_beginning_salience,smart,10.496840313593173,0.108421091735363,False
115,"(18, 2)",sentence_beginning_salience,smart,10.317335219929987,0.1086342990398407,False
116,"(5, 17)",sentence_beginning_salience,smart,10.56982568867181,0.11842795014381409,False
117,"(5, 8)",sentence_beginning_salience,smart,10.282228607359803,0.11886546164751052,False
118,"(5, 28)",sentence_beginning_salience,smart,10.461126038147004,0.1258370354771614,False
119,"(16, 25)",sentence_beginning_salience,smart,10.241998566997054,0.12309113293886184,False
120,"(8, 8)",sentence_beginning_salience,smart,10.07887854282115,0.12876003086566926,False
121,"(8, 28)",sentence_beginning_salience,smart,10.014692862247362,0.1335041716694832,False
122,"(19, 16)",sentence_beginning_salience,smart,9.938811646844341,0.13671587854623796,False
123,"(4, 30)",sentence_beginning_salience,smart,9.765729051236033,0.13472882360219957,False
124,"(4, 11)",sentence_beginning_salience,smart,9.630568099353145,0.12941837310791016,False
125,"(7, 17)",sentence_beginning_salience,smart,9.561670584517017,0.12712960094213485,False
126,"(11, 2)",sentence_beginning_salience,smart,9.681495936770228,0.128778138756752,False
127,"(4, 13)",sentence_beginning_salience,smart,9.859909938558653,0.13178810924291612,False
128,"(7, 21)",sentence_beginning_salience,smart,10.153964270200213,0.13478354066610337,False
129,"(5, 11)",sentence_beginning_salience,smart,10.60037273913521,0.1349238008260727,False
130,"(4, 24)",sentence_beginning_salience,smart,10.778533322602247,0.13335527926683427,False
131,"(20, 26)",sentence_beginning_salience,smart,10.896498962844651,0.13433642387390138,False
132,"(13, 24)",sentence_beginning_salience,smart,11.171634272417174,0.142491652071476,False
133,"(19, 23)",sentence_beginning_salience,smart,11.221757483882879,0.14623235464096068,False
134,"(4, 16)",sentence_beginning_salience,smart,11.489609075351618,0.14700753688812257,False
135,"(3, 22)",sentence_beginning_salience,smart,11.7776825357537,0.13852716833353043,False
136,"(11, 13)",sentence_beginning_salience,smart,11.85697005922492,0.14422275722026826,False
137,"(9, 6)",sentence_beginning_salience,smart,11.786303368407314,0.1413603499531746,False
138,"(4, 18)",sentence_beginning_salience,smart,11.746737979199361,0.14970873445272445,False
139,"(8, 20)",sentence_beginning_salience,smart,12.005316795782576,0.15060091465711595,False
140,"(5, 10)",sentence_beginning_salience,smart,11.964901339106845,0.1614797443151474,False
141,"(5, 18)",sentence_beginning_salience,smart,12.045076150216222,0.17228342592716217,False
142,"(11, 5)",sentence_beginning_salience,smart,12.089804689374159,0.17466747164726257,False
143,"(8, 23)",sentence_beginning_salience,smart,12.255552390721979,0.17364699095487596,False
144,"(11, 0)",sentence_beginning_salience,smart,12.177341503268352,0.17712627351284027,False
145,"(10, 26)",sentence_beginning_salience,smart,12.689665796144334,0.18663101345300676,False
146,"(3, 19)",sentence_beginning_salience,smart,12.900248159178506,0.1990585967898369,False
147,"(18, 9)",sentence_beginning_salience,smart,13.277256896423868,0.19543360471725463,False
148,"(17, 17)",sentence_beginning_salience,smart,13.631447421933586,0.19754621386528015,False
149,"(17, 7)",sentence_beginning_salience,smart,13.927580900724427,0.20515999794006348,False
150,"(15, 22)",sentence_beginning_salience,smart,13.939864562397208,0.19641129076480865,False
151,"(8, 16)",sentence_beginning_salience,smart,13.842276242254446,0.19504682421684266,False
152,"(4, 3)",sentence_beginning_salience,smart,14.259633324959188,0.198039972782135,False
153,"(4, 19)",sentence_beginning_salience,smart,14.270172068622902,0.19473100900650026,False
154,"(20, 17)",sentence_beginning_salience,smart,15.11332447505952,0.1969536915421486,False
155,"(15, 23)",sentence_beginning_salience,smart,14.598539259421845,0.19667267054319382,False
156,"(5, 26)",sentence_beginning_salience,smart,14.45750618682359,0.20089647322893142,False
157,"(10, 12)",sentence_beginning_salience,smart,14.855385787274418,0.20472027063369752,False
158,"(7, 3)",sentence_beginning_salience,smart,14.81544256081727,0.20369841307401657,False
159,"(8, 24)",sentence_beginning_salience,smart,14.672423170759014,0.20519548952579497,False
160,"(6, 22)",sentence_beginning_salience,smart,14.988687110799873,0.21536823511123657,False
161,"(6, 24)",sentence_beginning_salience,smart,15.356658664869553,0.24479509145021439,False
162,"(6, 10)",sentence_beginning_salience,smart,15.068571733847175,0.24923302233219147,False
163,"(16, 26)",sentence_beginning_salience,smart,14.815144538014511,0.26197652220726014,False
164,"(21, 29)",sentence_beginning_salience,smart,14.385383070895028,0.2646062359213829,False
165,"(6, 16)",sentence_beginning_salience,smart,14.391680627657696,0.2433935135602951,False
166,"(20, 12)",sentence_beginning_salience,smart,14.720162128969582,0.25060292333364487,False
167,"(6, 20)",initial_token_reference_attention,smart,15.14929429730771,0.2607573091983795,False
168,"(17, 19)",sentence_beginning_salience,smart,15.489734619521059,0.25833688080310824,False
169,"(3, 12)",sentence_beginning_salience,smart,15.342312046883979,0.26171481907367705,False
170,"(4, 0)",sentence_beginning_salience,smart,15.356658903479126,0.2668584734201431,False
