k,head,program,strategy,increase,spike
1,"(0, 1)",parenthetical_insertion,smart,0.13102526434330827,False
2,"(0, 0)",parenthetical_insertion,smart,0.11252338668443355,False
3,"(0, 2)",previous_attention,smart,-0.004103617201507803,False
4,"(0, 3)",previous_attention,smart,0.014596391349010408,False
5,"(0, 4)",parenthetical_insertion,smart,-0.008068680120924477,False
6,"(0, 7)",parenthetical_insertion,smart,-0.09806393673104843,False
7,"(0, 5)",parenthetical_insertion,smart,-0.1990565825119685,False
8,"(0, 6)",parenthetical_insertion,smart,-0.10238130735772573,False
9,"(0, 9)",relative_position_attention,smart,-0.5756278373515077,False
10,"(0, 8)",parenthetical_insertion,smart,-0.5153090125630215,False
11,"(1, 0)",relative_position_attention,smart,-0.28704200835966304,False
12,"(0, 10)",next_attention,smart,0.6413259537488658,False
13,"(1, 1)",next_attention,smart,6.234764814247656,False
14,"(0, 11)",relative_position_attention,smart,6.516284463206946,False
15,"(1, 2)",relative_position_attention,smart,6.25725718858881,False
16,"(1, 4)",previous_attention,smart,15.009910586565386,False
17,"(1, 3)",relative_position_attention,smart,15.407833434657118,False
18,"(1, 5)",relative_position_attention,smart,15.602282000840836,False
19,"(1, 7)",appositive_phrase_attention,smart,15.601524794106913,False
20,"(1, 9)",relative_position_attention,smart,15.98164130705004,False
21,"(1, 8)",relative_position_attention,smart,16.146329972621004,False
22,"(1, 10)",sentence_position_preference,smart,16.5218936183288,False
23,"(1, 11)",relative_position_attention,smart,17.255027262706932,False
24,"(2, 1)",sentence_level_attention,smart,18.290013785322294,False
25,"(2, 3)",relative_position_attention,smart,20.33326419633174,False
26,"(2, 5)",relative_position_attention,smart,21.059946746816912,False
27,"(2, 2)",sentence_level_attention,smart,22.944160204443897,False
28,"(2, 4)",relative_position_attention,smart,23.77045175979136,False
29,"(2, 6)",lexical_diversity_focus,smart,23.714165128055377,False
30,"(2, 7)",relative_position_attention,smart,24.207470256346358,False
31,"(2, 8)",relative_position_attention,smart,27.1877313233933,False
32,"(2, 10)",relative_position_attention,smart,30.72993246130689,False
33,"(3, 0)",relative_position_attention,smart,30.54744692129886,False
34,"(3, 1)",relative_position_attention,smart,30.303560270482574,False
35,"(2, 11)",appositive_phrase_attention,smart,32.40407846366408,False
36,"(3, 2)",relative_position_attention,smart,31.34048069182628,False
37,"(3, 3)",relative_position_attention,smart,35.26789247124949,False
38,"(3, 7)",relative_position_attention,smart,34.96597118509658,False
39,"(3, 4)",relative_position_attention,smart,35.30153439136528,False
40,"(3, 6)",relative_position_attention,smart,35.749643865800934,False
41,"(3, 8)",relative_position_attention,smart,35.3178958502357,False
42,"(4, 0)",emphasize_verbs_and_objects,smart,35.44472168847265,False
43,"(3, 11)",sentence_position_preference,smart,41.267300666224344,False
44,"(3, 10)",relative_position_attention,smart,41.76525289835365,False
45,"(4, 1)",parenthetical_insertion,smart,41.972930774529516,False
46,"(4, 3)",emphasize_verbs_and_objects,smart,41.87581816281441,False
47,"(4, 4)",emphasize_verbs_and_objects,smart,44.00840276564303,False
48,"(4, 2)",emphasize_verbs_and_objects,smart,45.788932809933534,False
49,"(4, 5)",emphasize_verbs_and_objects,smart,49.067016494932275,False
50,"(4, 7)",emphasize_verbs_and_objects,smart,52.26960470645829,False
51,"(4, 6)",emphasize_verbs_and_objects,smart,54.51174950682438,False
52,"(4, 8)",emphasize_verbs_and_objects,smart,53.10907309796944,False
53,"(4, 10)",emphasize_verbs_and_objects,smart,53.90548541640245,False
54,"(4, 11)",coordination_attention,smart,53.905874496256935,False
55,"(4, 9)",relative_position_attention,smart,55.009957071229834,False
56,"(5, 0)",emphasize_verbs_and_objects,smart,59.421698914105534,False
57,"(5, 1)",emphasize_verbs_and_objects,smart,62.23538509804909,False
58,"(5, 2)",emphasize_verbs_and_objects,smart,62.95183169901569,False
59,"(5, 5)",emphasize_verbs_and_objects,smart,62.27815298312746,False
60,"(5, 7)",emphasize_verbs_and_objects,smart,67.30527260337752,False
61,"(5, 4)",relative_position_attention,smart,67.29905257953823,False
62,"(5, 3)",emphasize_verbs_and_objects,smart,68.97876634582965,False
63,"(5, 6)",emphasize_verbs_and_objects,smart,82.27283555487864,False
64,"(5, 8)",sentence_initial_dominance,smart,98.21712341116537,False
65,"(5, 11)",emphasize_verbs_and_objects,smart,116.84572364958952,False
66,"(5, 10)",coordination_attention,smart,145.30516942853268,False
67,"(6, 0)",emphasize_verbs_and_objects,smart,158.04805776877933,False
68,"(6, 2)",emphasize_verbs_and_objects,smart,176.79673131468945,False
69,"(6, 3)",emphasize_verbs_and_objects,smart,186.93470592120806,False
70,"(6, 1)",emphasize_verbs_and_objects,smart,225.23765821456897,False
71,"(6, 5)",sentence_initial_dominance,smart,225.882041534988,False
72,"(6, 4)",emphasize_verbs_and_objects,smart,239.5827981009151,False
73,"(6, 6)",emphasize_verbs_and_objects,smart,256.27280384944777,False
74,"(6, 7)",relative_position_attention,smart,247.51770445192037,False
75,"(6, 9)",emphasize_verbs_and_objects,smart,276.10014740877244,False
76,"(6, 8)",emphasize_verbs_and_objects,smart,274.03172389810675,False
77,"(7, 3)",emphasize_verbs_and_objects,smart,294.8554072651988,False
78,"(7, 0)",relative_position_attention,smart,314.220145743412,False
79,"(7, 1)",emphasize_verbs_and_objects,smart,335.1006343353884,False
80,"(7, 5)",emphasize_verbs_and_objects,smart,336.1040089617214,False
81,"(7, 7)",emphasize_verbs_and_objects,smart,349.11704235488503,False
82,"(7, 4)",previous_attention,smart,396.03726273901384,False
83,"(7, 10)",emphasize_verbs_and_objects,smart,410.2774518823529,False
84,"(7, 2)",emphasize_verbs_and_objects,smart,455.96697034532025,False
85,"(7, 8)",punctuation_attention,smart,500.61049485545357,False
86,"(7, 6)",emphasize_verbs_and_objects,smart,532.0954841607244,False
87,"(8, 0)",emphasize_verbs_and_objects,smart,552.8746015512187,False
88,"(8, 1)",emphasize_verbs_and_objects,smart,563.9416090821414,False
89,"(8, 2)",emphasize_verbs_and_objects,smart,555.9337152054525,False
90,"(8, 6)",emphasize_verbs_and_objects,smart,595.2927160252868,False
91,"(8, 8)",relative_position_attention,smart,593.9935613282406,False
