k,head,program,strategy,increase,kl_div,spike
1,"(11, 8)",cls_attention,smart,-0.14893289829363127,0.0005645950208418071,False
2,"(15, 16)",cls_attention,smart,-0.25867400798126383,0.001100141752976924,False
3,"(15, 20)",cls_attention,smart,-0.22903484895801318,0.0017656655516475439,False
4,"(8, 11)",cls_attention,smart,-0.40925190881298634,0.001953994040377438,False
5,"(11, 11)",initial_element_reinforcement,smart,-0.5584348382397717,0.0027152347844094037,False
6,"(16, 28)",cls_attention,smart,-0.06108278747731666,0.003942222846671939,False
7,"(11, 3)",initial_element_reinforcement,smart,0.17656395018625726,0.004092610022053122,False
8,"(14, 13)",initial_element_reinforcement,smart,0.024490666189220182,0.004367085080593825,False
9,"(15, 19)",initial_element_reinforcement,smart,-0.22799692417306927,0.003964317566715181,False
10,"(8, 9)",cls_attention,smart,-0.20968598092318996,0.004526954446919263,False
11,"(15, 8)",initial_element_reinforcement,smart,-0.24720862787595763,0.00586447985842824,False
12,"(11, 15)",sentence_beginning_salience,smart,-0.009041288186140917,0.007839437201619148,False
13,"(20, 29)",sentence_beginning_salience,smart,0.3601298156738571,0.00880854856222868,False
14,"(15, 21)",initial_element_reinforcement,smart,0.7482690682406885,0.008392400108277798,False
15,"(3, 4)",sentence_beginning_salience,smart,0.7306969197382064,0.009350519254803657,False
16,"(18, 21)",sentence_beginning_salience,smart,0.9822333571519403,0.009807950165122748,False
17,"(3, 0)",sentence_beginning_salience,smart,1.0102380463730734,0.0109847042709589,False
18,"(6, 25)",initial_element_reinforcement,smart,0.7652900955055885,0.010564238391816616,False
19,"(3, 7)",sentence_beginning_salience,smart,1.2343764060679072,0.01131515922024846,False
20,"(9, 0)",sentence_beginning_salience,smart,1.456261969240027,0.012794945947825908,False
21,"(20, 16)",sentence_beginning_salience,smart,1.3052236062587197,0.012705828994512558,False
22,"(4, 8)",sentence_beginning_salience,smart,1.3313853633631794,0.012720747012645006,False
23,"(18, 7)",sentence_beginning_salience,smart,1.6077151048478115,0.014255092665553092,False
24,"(18, 30)",sentence_beginning_salience,smart,1.5084570395311636,0.014811672270298004,False
25,"(8, 14)",sentence_beginning_salience,smart,1.7842877046251453,0.015645113494247197,False
26,"(19, 8)",sentence_beginning_salience,smart,1.5131217443153901,0.017664013989269735,False
27,"(18, 5)",sentence_beginning_salience,smart,1.633303432057484,0.019554812647402286,False
28,"(8, 12)",initial_element_reinforcement,smart,1.5291695526715192,0.01807479001581669,False
29,"(19, 11)",sentence_beginning_salience,smart,1.2687559414205904,0.018287269212305547,False
30,"(15, 18)",sentence_beginning_salience,smart,1.542116653663054,0.019555183500051497,False
31,"(17, 3)",sentence_beginning_salience,smart,1.6405647510805572,0.020745962113142013,False
32,"(20, 8)",sentence_beginning_salience,smart,1.6794541169287456,0.02036084160208702,False
33,"(3, 1)",sentence_beginning_salience,smart,1.8161661716303066,0.018674385175108908,False
34,"(5, 13)",sentence_beginning_salience,smart,2.046198802296584,0.018285921216011046,False
35,"(8, 25)",sentence_beginning_salience,smart,2.161499763462777,0.01895007025450468,False
36,"(21, 6)",sentence_beginning_salience,smart,2.1018430043859073,0.019406748190522193,False
37,"(17, 0)",sentence_beginning_salience,smart,2.587135300138082,0.020188835449516773,False
38,"(15, 10)",sentence_beginning_salience,smart,2.2815905870980098,0.020768124610185623,False
39,"(17, 1)",sentence_beginning_salience,smart,2.2393332520194633,0.022389117628335953,False
40,"(21, 25)",sentence_beginning_salience,smart,2.0883617803515877,0.02273143529891968,False
41,"(4, 28)",sentence_beginning_salience,smart,2.6769531373211457,0.023161591216921806,False
42,"(17, 2)",sentence_beginning_salience,smart,3.20075548700959,0.024985581636428833,False
43,"(4, 17)",sentence_beginning_salience,smart,2.7852908175732605,0.0237685427069664,False
44,"(17, 4)",sentence_beginning_salience,smart,2.8730348230213054,0.023152290284633635,False
45,"(5, 16)",sentence_beginning_salience,smart,2.733392185730245,0.02463898155838251,False
46,"(19, 9)",sentence_beginning_salience,smart,2.811641565891717,0.02562439478933811,False
47,"(19, 12)",sentence_beginning_salience,smart,2.7556376621943217,0.026474622264504432,False
48,"(8, 27)",sentence_beginning_salience,smart,2.614836342605436,0.02612916138023138,False
49,"(18, 1)",sentence_beginning_salience,smart,2.638569914259856,0.027013210207223894,False
50,"(20, 10)",sentence_beginning_salience,smart,2.398885884330194,0.027558920346200465,False
