k,head,program,strategy,increase,kl_div,spike
1,"(15, 16)",cls_attention,smart,-0.09980278494690037,0.0006977682467550039,False
2,"(8, 11)",cls_attention,smart,-0.26678916849501855,0.0009447879157960415,False
3,"(15, 20)",cls_attention,smart,-0.223942385519115,0.0015490090823732316,False
4,"(11, 8)",cls_attention,smart,-0.40925190881298634,0.001953994040377438,False
5,"(16, 28)",cls_attention,smart,0.07374925729070592,0.0029579791822470724,False
6,"(14, 13)",initial_element_reinforcement,smart,-0.0739615626941124,0.003835987625643611,False
7,"(11, 3)",initial_element_reinforcement,smart,0.16719732656160385,0.00369203242007643,False
8,"(15, 8)",initial_element_reinforcement,smart,0.1331903857215732,0.005030474998056889,False
9,"(8, 9)",cls_attention,smart,0.1400034783998056,0.005943563440814615,False
10,"(6, 25)",initial_element_reinforcement,smart,-0.09168922424741295,0.005866995174437761,False
11,"(11, 11)",initial_element_reinforcement,smart,-0.24857620324643612,0.0063755074981600044,False
12,"(15, 21)",initial_element_reinforcement,smart,0.13029095261027718,0.006064692558720708,False
13,"(11, 15)",sentence_beginning_salience,smart,0.36487756667211474,0.006854229979217053,False
14,"(20, 29)",sentence_beginning_salience,smart,0.7459785356302105,0.007664500456303358,False
15,"(15, 19)",initial_element_reinforcement,smart,0.5200659133273348,0.00808762088418007,False
16,"(3, 4)",sentence_beginning_salience,smart,0.502692491301056,0.008887401223182679,False
17,"(18, 21)",sentence_beginning_salience,smart,0.7517010999195431,0.009461268410086631,False
18,"(4, 8)",sentence_beginning_salience,smart,0.8302286578220499,0.010055045783519744,False
19,"(9, 0)",sentence_beginning_salience,smart,1.0443571560047016,0.011074921023100615,False
20,"(3, 0)",sentence_beginning_salience,smart,1.0085842536955656,0.012205525487661361,False
21,"(18, 7)",sentence_beginning_salience,smart,1.2739373460391974,0.014308536797761917,False
22,"(20, 16)",sentence_beginning_salience,smart,1.1446128990626616,0.013655995391309262,False
23,"(18, 30)",sentence_beginning_salience,smart,1.0511203918458665,0.014099042396992445,False
24,"(3, 7)",sentence_beginning_salience,smart,1.5084570395311636,0.014811672270298004,False
25,"(8, 12)",initial_element_reinforcement,smart,1.4120930770706652,0.013775226660072803,False
26,"(19, 11)",sentence_beginning_salience,smart,1.1488103803858418,0.014388680644333362,False
27,"(18, 5)",sentence_beginning_salience,smart,1.262816927117842,0.01590315718203783,False
28,"(19, 8)",sentence_beginning_salience,smart,1.0093543850731481,0.01754103973507881,False
29,"(17, 3)",sentence_beginning_salience,smart,1.0950400855682574,0.01900593489408493,False
30,"(8, 14)",sentence_beginning_salience,smart,1.3577389624075218,0.01968977376818657,False
31,"(5, 13)",sentence_beginning_salience,smart,1.610606450945761,0.018845928087830543,False
32,"(3, 1)",sentence_beginning_salience,smart,1.729744065818886,0.018027185834944247,False
33,"(15, 18)",sentence_beginning_salience,smart,2.0002280182624377,0.018460007011890413,False
34,"(21, 6)",sentence_beginning_salience,smart,1.9386880919294378,0.018906273320317267,False
35,"(8, 25)",sentence_beginning_salience,smart,2.0563190685603554,0.019406213611364364,False
36,"(20, 8)",sentence_beginning_salience,smart,2.1018430043859073,0.019406748190522193,False
37,"(15, 10)",sentence_beginning_salience,smart,1.7880709925523166,0.019948427751660346,False
38,"(17, 0)",sentence_beginning_salience,smart,2.2815905870980098,0.020768124610185623,False
39,"(17, 1)",sentence_beginning_salience,smart,2.2393332520194633,0.022389117628335953,False
40,"(4, 28)",sentence_beginning_salience,smart,2.835887975864943,0.022711232490837573,False
41,"(21, 25)",sentence_beginning_salience,smart,2.6769531373211457,0.023161591216921806,False
42,"(4, 17)",sentence_beginning_salience,smart,2.263774826206311,0.022144926711916924,False
43,"(17, 2)",sentence_beginning_salience,smart,2.7852908175732605,0.0237685427069664,False
44,"(8, 27)",sentence_beginning_salience,smart,2.67713948828226,0.023759306222200394,False
45,"(18, 1)",sentence_beginning_salience,smart,2.7048494024047485,0.024595277197659016,False
46,"(17, 4)",sentence_beginning_salience,smart,2.784953060394913,0.0239504162222147,False
47,"(19, 12)",sentence_beginning_salience,smart,2.7223623869943365,0.025183051824569702,False
48,"(8, 21)",sentence_beginning_salience,smart,2.660024717472603,0.025746650621294977,False
49,"(19, 9)",sentence_beginning_salience,smart,2.75119142501213,0.026729437336325646,False
50,"(5, 16)",sentence_beginning_salience,smart,2.590026114022396,0.02713329643011093,False
51,"(20, 10)",sentence_beginning_salience,smart,2.3524683006287104,0.027626791782677174,False
52,"(4, 4)",sentence_beginning_salience,smart,1.9840096913685863,0.0279438778758049,False
53,"(4, 31)",sentence_beginning_salience,smart,1.774608719537951,0.02787933424115181,False
54,"(5, 20)",sentence_beginning_salience,smart,1.549308146416704,0.029393668100237847,False
55,"(3, 6)",sentence_beginning_salience,smart,2.005674650440401,0.030377649888396262,False
56,"(11, 7)",sentence_beginning_salience,smart,2.257361232142461,0.0316150713711977,False
57,"(3, 5)",sentence_beginning_salience,smart,2.191767447005043,0.032145869359374045,False
58,"(4, 25)",sentence_beginning_salience,smart,2.1195645649557155,0.03422197550535202,False
59,"(21, 1)",sentence_beginning_salience,smart,2.0201011939143685,0.03430682010948658,False
60,"(7, 24)",sentence_beginning_salience,smart,2.3230441140872786,0.03770433813333511,False
61,"(19, 17)",sentence_beginning_salience,smart,2.5354510250415685,0.04205990806221962,False
62,"(5, 15)",sentence_beginning_salience,smart,2.687957648525182,0.04287850558757782,False
63,"(20, 13)",sentence_beginning_salience,smart,2.947875370439073,0.04328468628227711,False
64,"(19, 6)",sentence_beginning_salience,smart,3.1365314332666863,0.04518662542104721,False
65,"(6, 11)",sentence_beginning_salience,smart,3.139969848613054,0.04811096712946892,False
66,"(3, 16)",sentence_beginning_salience,smart,3.3504899889574054,0.04794841930270195,False
67,"(5, 14)",sentence_beginning_salience,smart,3.743126353664521,0.04900389909744263,False
68,"(14, 15)",sentence_beginning_salience,smart,4.065493225294786,0.04771845415234566,False
69,"(10, 16)",sentence_beginning_salience,smart,4.310187310274544,0.05250239223241806,False
70,"(18, 4)",sentence_beginning_salience,smart,4.441192970966689,0.05173209011554718,False
71,"(6, 15)",sentence_beginning_salience,smart,4.507887479807987,0.04959578588604927,False
72,"(11, 6)",sentence_beginning_salience,smart,5.186545317796223,0.04843795523047447,False
73,"(4, 12)",sentence_beginning_salience,smart,5.208436652253517,0.05043669566512108,False
74,"(3, 2)",sentence_beginning_salience,smart,5.089797021037501,0.04851881712675095,False
75,"(8, 18)",sentence_beginning_salience,smart,5.1387931089122505,0.048042770475149155,False
76,"(17, 22)",sentence_beginning_salience,smart,4.83397595532567,0.04552292302250862,False
77,"(19, 25)",sentence_beginning_salience,smart,4.9402625166629175,0.04807378575205803,False
78,"(7, 0)",sentence_beginning_salience,smart,5.1593700096785815,0.04915092214941978,False
79,"(8, 15)",sentence_beginning_salience,smart,5.376133008996841,0.05078730657696724,False
80,"(19, 15)",sentence_beginning_salience,smart,4.929768168958239,0.05060891881585121,False
81,"(18, 23)",sentence_beginning_salience,smart,4.538621062168142,0.05018148422241211,False
82,"(17, 15)",sentence_beginning_salience,smart,5.037026990125342,0.05041701719164848,False
83,"(8, 17)",sentence_beginning_salience,smart,4.976108010127379,0.05487752929329872,False
84,"(17, 12)",sentence_beginning_salience,smart,4.744350404942752,0.05563449263572693,False
85,"(8, 19)",sentence_beginning_salience,smart,4.586069563535855,0.05602804943919182,False
86,"(5, 9)",sentence_beginning_salience,smart,5.087808953344135,0.05929857864975929,False
87,"(16, 13)",sentence_beginning_salience,smart,5.144574868432578,0.06364762932062148,False
