k,head,program,strategy,increase,spike
1,"(0, 0)",parenthetical_insertion,smart,-0.04628034964495542,False
2,"(0, 5)",parenthetical_insertion,smart,-0.10814232613917056,False
3,"(0, 1)",parenthetical_insertion,smart,-0.019629264914206922,False
4,"(0, 6)",parenthetical_insertion,smart,0.048471482369841584,False
5,"(0, 3)",previous_attention,smart,0.0889333808534034,False
6,"(0, 2)",previous_attention,smart,-0.08077159850095517,False
7,"(0, 10)",next_attention,smart,0.9715993878532002,False
8,"(0, 7)",parenthetical_insertion,smart,0.9006907856797248,False
9,"(0, 4)",parenthetical_insertion,smart,0.8188790021002046,False
10,"(0, 8)",parenthetical_insertion,smart,0.903566827990006,False
11,"(0, 9)",relative_position_attention,smart,0.39231784212188286,False
12,"(1, 0)",relative_position_attention,smart,0.6413259537488658,False
13,"(0, 11)",relative_position_attention,smart,0.9009450575704724,False
14,"(1, 3)",relative_position_attention,smart,0.9767113865931318,False
15,"(1, 1)",next_attention,smart,6.692726736022489,False
16,"(1, 2)",relative_position_attention,smart,6.450065283035469,False
17,"(1, 5)",relative_position_attention,smart,6.55735456916199,False
18,"(1, 4)",previous_attention,smart,15.602282000840836,False
19,"(1, 8)",relative_position_attention,smart,15.735824923843591,False
20,"(1, 7)",appositive_phrase_attention,smart,15.73409771151113,False
21,"(1, 10)",sentence_position_preference,smart,16.151716892455845,False
22,"(1, 11)",relative_position_attention,smart,16.86268016878656,False
23,"(1, 9)",relative_position_attention,smart,17.255027262706932,False
24,"(2, 1)",sentence_level_attention,smart,18.290013785322294,False
25,"(2, 3)",relative_position_attention,smart,20.33326419633174,False
26,"(2, 2)",sentence_level_attention,smart,22.166794377163658,False
27,"(2, 6)",lexical_diversity_focus,smart,22.140111201206594,False
28,"(2, 5)",relative_position_attention,smart,22.91152178954195,False
29,"(2, 7)",relative_position_attention,smart,23.33994298323352,False
30,"(2, 8)",relative_position_attention,smart,25.89740121112999,False
31,"(2, 4)",relative_position_attention,smart,27.1877313233933,False
32,"(3, 3)",relative_position_attention,smart,30.44481622949447,False
33,"(3, 0)",relative_position_attention,smart,30.44796825392849,False
34,"(2, 10)",relative_position_attention,smart,34.57700858995263,False
35,"(3, 1)",relative_position_attention,smart,34.04420908422122,False
36,"(2, 11)",appositive_phrase_attention,smart,36.67824345989369,False
37,"(3, 4)",relative_position_attention,smart,36.84488789251653,False
38,"(3, 2)",relative_position_attention,smart,35.50082472483342,False
39,"(3, 7)",relative_position_attention,smart,35.30153439136528,False
40,"(3, 8)",relative_position_attention,smart,34.99160976995016,False
41,"(3, 6)",relative_position_attention,smart,35.3178958502357,False
42,"(3, 9)",next_attention,smart,85.11815081136335,False
43,"(4, 2)",emphasize_verbs_and_objects,smart,93.15729408976668,False
44,"(4, 1)",parenthetical_insertion,smart,92.68610182983187,False
45,"(4, 0)",emphasize_verbs_and_objects,smart,91.83937568778693,False
46,"(3, 11)",sentence_position_preference,smart,110.40610481878791,False
47,"(4, 5)",emphasize_verbs_and_objects,smart,119.91459815199224,False
48,"(4, 4)",emphasize_verbs_and_objects,smart,124.2113158276605,False
49,"(4, 3)",emphasize_verbs_and_objects,smart,121.76789304418612,False
50,"(3, 10)",relative_position_attention,smart,124.32085980311899,False
51,"(4, 6)",emphasize_verbs_and_objects,smart,128.50214968185497,False
52,"(4, 7)",emphasize_verbs_and_objects,smart,132.682917452175,False
53,"(4, 10)",emphasize_verbs_and_objects,smart,138.66524179852453,False
54,"(4, 9)",relative_position_attention,smart,142.44803944567633,False
55,"(5, 1)",emphasize_verbs_and_objects,smart,142.3508604035539,False
56,"(4, 8)",emphasize_verbs_and_objects,smart,141.70942131575464,False
57,"(5, 0)",emphasize_verbs_and_objects,smart,145.8250050354235,False
58,"(5, 4)",relative_position_attention,smart,144.76715487564232,False
59,"(5, 3)",emphasize_verbs_and_objects,smart,150.44835163746234,False
60,"(5, 7)",emphasize_verbs_and_objects,smart,156.4847473600601,False
61,"(5, 6)",emphasize_verbs_and_objects,smart,173.98442777221635,False
62,"(5, 5)",emphasize_verbs_and_objects,smart,174.62006962387755,False
63,"(5, 2)",emphasize_verbs_and_objects,smart,180.12251122706314,False
64,"(5, 10)",coordination_attention,smart,201.17139711423067,False
65,"(5, 8)",sentence_initial_dominance,smart,235.32352851356578,False
66,"(6, 0)",emphasize_verbs_and_objects,smart,256.2955004453426,False
67,"(6, 1)",emphasize_verbs_and_objects,smart,287.1143861074516,False
68,"(5, 11)",emphasize_verbs_and_objects,smart,315.9207132448607,False
69,"(6, 2)",emphasize_verbs_and_objects,smart,336.699690039252,False
70,"(6, 3)",emphasize_verbs_and_objects,smart,345.2510484399694,False
71,"(6, 5)",sentence_initial_dominance,smart,347.984039978052,False
72,"(6, 4)",emphasize_verbs_and_objects,smart,364.7072055479149,False
73,"(6, 6)",emphasize_verbs_and_objects,smart,375.87324740921844,False
74,"(6, 7)",relative_position_attention,smart,367.59257759153763,False
75,"(6, 9)",emphasize_verbs_and_objects,smart,401.2388380740278,False
76,"(6, 8)",emphasize_verbs_and_objects,smart,377.7069808160645,False
77,"(7, 1)",emphasize_verbs_and_objects,smart,394.16465778247704,False
78,"(7, 4)",previous_attention,smart,426.1264693264444,False
79,"(7, 0)",relative_position_attention,smart,446.1767248816033,False
80,"(7, 2)",emphasize_verbs_and_objects,smart,460.2852279744053,False
81,"(7, 3)",emphasize_verbs_and_objects,smart,497.4807570657126,False
82,"(7, 6)",emphasize_verbs_and_objects,smart,521.7215403210888,False
