k,head,program,accepted_rank,strategy,increase,kl_div,shuffle_idx
1,"(10, 2)",initial_token_attention,1,smart,0.0083077121974303,0.0010652532906533,3
2,"(10, 1)",initial_token_attention,1,smart,0.0086151012889746,0.0020113895157282,3
3,"(6, 9)",cls_attention,1,smart,-0.6633480896656324,0.0035132152349979,3
4,"(5, 1)",cls_attention,1,smart,-0.6251862761961215,0.0060475473920814,3
5,"(7, 2)",cls_attention,1,smart,-0.460792145148411,0.0074810902934405,3
6,"(4, 11)",previous_attention,1,smart,-0.1322718588934046,0.0087215613533044,3
7,"(7, 1)",initial_token_attention,1,smart,0.1771068590557415,0.010167443108512,3
8,"(11, 9)",initial_token_attention,1,smart,-0.2135142477716519,0.0127920427668141,3
9,"(10, 0)",initial_token_attention,1,smart,-0.2058038401692566,0.0146051100420299,3
10,"(11, 2)",initial_token_attention,1,smart,1.0038506419448705,0.0178802745742723,3
11,"(7, 7)",initial_token_attention,1,smart,0.9243134907948786,0.0183311772427987,3
12,"(5, 5)",initial_token_attention,1,smart,0.6361639857461907,0.0207400942401727,3
13,"(6, 6)",initial_token_attention,1,smart,0.4549912320044895,0.0223765524174086,3
14,"(10, 8)",initial_token_attention,1,smart,0.101134714981626,0.0241866845404729,3
15,"(3, 0)",initial_token_attention,1,smart,-0.0733334110827843,0.0241215188847854,3
16,"(0, 1)",repeated_attention,1,smart,-0.0822966363249952,0.0241433957172557,3
17,"(9, 6)",initial_token_attention,1,smart,0.0839775504555285,0.0252819866256322,3
18,"(9, 9)",sentence_start_dominance,1,smart,0.2021487951474977,0.0283463769988156,3
19,"(9, 5)",sentence_initial_dominance,1,smart,-1.720343203993684,0.0281432828877586,3
20,"(8, 1)",initial_token_attention,1,smart,-1.9935828405133864,0.0322866465407423,3
21,"(10, 10)",initial_token_attention,1,smart,-1.8115494947969548,0.0338068508962169,3
22,"(9, 11)",initial_token_attention,1,smart,-1.492048024781801,0.0344391455722507,3
23,"(3, 4)",initial_token_attention,1,smart,-1.6696160646077265,0.0362357958825305,3
24,"(11, 7)",initial_token_attention,1,smart,-0.7344831094723496,0.0396111746504902,3
25,"(11, 5)",initial_token_attention,1,smart,-0.2976022499177347,0.0433203779207542,3
26,"(9, 4)",initial_token_attention,1,smart,-0.3462717356001825,0.0438093335588928,3
27,"(7, 10)",initial_token_attention,1,smart,-0.1648400476295224,0.0446127126924693,3
28,"(6, 10)",initial_token_attention,1,smart,0.0257492291136026,0.049316759428475,3
29,"(9, 8)",sentence_initial_dominance,1,smart,-1.440972483437424,0.0490389868686907,3
30,"(10, 6)",initial_token_attention,1,smart,-1.36646972737408,0.0513438879372552,3
31,"(11, 1)",sentence_initial_dominance,1,smart,-3.045613352144548,0.05134594717063,3
32,"(7, 11)",initial_token_attention,1,smart,-2.9486139101015043,0.0545547189190983,3
33,"(6, 2)",sentence_initial_dominance,1,smart,-4.1299547629687,0.0547539398795925,3
34,"(7, 6)",sentence_initial_dominance,1,smart,-5.068048806331123,0.0544238592172041,3
35,"(8, 3)",initial_token_attention,1,smart,-4.902484822870978,0.0567541138152591,3
36,"(5, 9)",sentence_initial_dominance,1,smart,-5.571243742067339,0.056279577629175,3
37,"(10, 3)",sentence_initial_dominance,1,smart,-7.450234561946978,0.0559232397237792,3
38,"(5, 0)",initial_token_attention,1,smart,-7.127710350251196,0.0602457805001176,3
39,"(8, 11)",sentence_initial_dominance,1,smart,-8.657863908075072,0.0603198929037898,3
40,"(9, 1)",initial_token_attention,1,smart,-8.464149821736362,0.0637275032047182,3
41,"(8, 0)",sentence_initial_dominance,1,smart,-10.026851892198312,0.0629787814687006,3
42,"(4, 10)",initial_token_attention,1,smart,-9.929107592011958,0.0653556691482663,3
43,"(11, 6)",initial_element_reinforcement,2,smart,-2.304178,0.098079,3
44,"(0, 6)",uniform_lower_diagonal,1,smart,-2.363292,0.099541,3
45,"(10, 5)",sentence_beginning_salience,1,smart,-2.626185,0.10222,3
46,"(0, 10)",uniform_lower_diagonal,1,smart,-2.567127,0.099962,3
47,"(5, 7)",token_reinforcement,1,smart,-2.490609,0.116267,3
48,"(0, 9)",uniform_lower_diagonal,1,smart,-2.411047,0.116382,3
49,"(9, 2)",token_reinforcement,1,smart,-2.630356,0.117352,3
50,"(1, 10)",uniform_lower_diagonal,1,smart,-2.616711,0.117064,3
51,"(5, 11)",initial_token_reference_attention,1,smart,-1.710288,0.124538,3
52,"(4, 8)",token_reinforcement,1,smart,-0.945871,0.127021,3
53,"(3, 10)",initial_token_reference_attention,1,smart,-0.544826,0.13892,3
54,"(11, 10)",initial_token_reference_attention,1,smart,0.130881,0.141282,3
55,"(6, 1)",token_reinforcement,1,smart,0.850874,0.140637,3
56,"(7, 5)",token_reinforcement,1,smart,1.49067,0.125989,3
57,"(6, 3)",token_reinforcement,1,smart,1.64528,0.137083,3
58,"(10, 7)",token_reinforcement,1,smart,1.815448,0.147838,3
59,"(0, 0)",uniform_lower_diagonal,1,smart,1.472369,0.141061,3
60,"(2, 7)",uniform_lower_diagonal,1,smart,1.477149,0.134943,3
61,"(1, 7)",uniform_lower_diagonal,1,smart,1.255888,0.130955,3
62,"(1, 8)",uniform_lower_diagonal,1,smart,1.403179,0.129081,3
63,"(0, 5)",lexical_diversity_focus,1,smart,1.450012,0.127763,3
64,"(11, 4)",token_reinforcement,1,smart,1.194519,0.129072,3
65,"(0, 3)",rare_word_dominance,1,smart,1.194772,0.130962,3
66,"(0, 11)",uniform_lower_diagonal,1,smart,0.711223,0.128572,3
67,"(7, 8)",token_reinforcement,1,smart,0.60902,0.127697,3
68,"(5, 3)",uniform_lower_diagonal,1,smart,0.778488,0.135967,3
69,"(4, 4)",token_reinforcement,1,smart,1.328194,0.136268,3
70,"(2, 1)",token_reinforcement,1,smart,1.877141,0.135709,3
71,"(8, 7)",token_reinforcement,1,smart,2.18819,0.139445,3
72,"(9, 3)",initial_token_reference_attention,1,smart,2.479574,0.14694,3
73,"(7, 4)",sentence_beginning_salience,1,smart,3.038057,0.135995,3
74,"(2, 10)",uniform_lower_diagonal,1,smart,3.226226,0.140172,3
75,"(7, 0)",token_reinforcement,1,smart,3.96791,0.149337,3
76,"(2, 2)",previous_attention,1,smart,3.676748,0.141569,3
77,"(4, 2)",token_reinforcement,1,smart,3.745525,0.149483,3
78,"(10, 9)",token_reinforcement,1,smart,4.877946,0.154819,3
79,"(0, 8)",uniform_lower_diagonal,1,smart,4.707869,0.160725,3
80,"(8, 10)",token_reinforcement,1,smart,5.820814,0.173528,3
81,"(6, 5)",token_reinforcement,1,smart,5.920666,0.175626,3
82,"(8, 9)",token_reinforcement,1,smart,7.185945,0.171673,3
83,"(5, 10)",token_reinforcement,1,smart,9.074998,0.198717,3
84,"(9, 0)",token_reinforcement,1,smart,10.072075,0.207837,3
85,"(5, 6)",token_reinforcement,1,smart,11.053125,0.245734,3
86,"(6, 4)",initial_token_reference_attention,1,smart,10.880348,0.240877,3
87,"(6, 7)",token_reinforcement,1,smart,12.429087,0.258196,3
88,"(10, 11)",token_reinforcement,1,smart,12.873959,0.259654,3
89,"(2, 6)",initial_token_reference_attention,1,smart,12.902041,0.240184,3
90,"(11, 0)",uniform_lower_diagonal,1,smart,13.13863,0.242737,3
91,"(0, 2)",uniform_lower_diagonal,1,smart,13.556242,0.255424,3
92,"(1, 3)",initial_token_reference_attention,1,smart,13.939719,0.261551,3
93,"(4, 7)",first_token_dominance,1,smart,14.414721,0.264984,3
94,"(7, 3)",token_reinforcement,1,smart,14.273284,0.297941,3
95,"(9, 7)",token_reinforcement,1,smart,14.338917,0.314095,3
96,"(0, 7)",uniform_lower_diagonal,1,smart,14.76429,0.32246,3
97,"(1, 6)",uniform_lower_diagonal,1,smart,15.118627,0.3305,3
98,"(1, 4)",uniform_lower_diagonal,1,smart,15.943245,0.341552,3
99,"(7, 9)",token_reinforcement,1,smart,17.667183,0.344109,3
100,"(11, 8)",uniform_lower_diagonal,1,smart,17.612881,0.336033,3
101,"(1, 11)",lexical_diversity_focus,1,smart,17.473425,0.337852,3
102,"(5, 2)",token_reinforcement,1,smart,18.007591,0.381108,3
103,"(11, 11)",initial_token_reference_attention,1,smart,17.82572,0.387958,3
104,"(1, 5)",uniform_lower_diagonal,1,smart,18.255864,0.396521,3
105,"(3, 5)",token_reinforcement,1,smart,18.772771,0.413709,3
106,"(3, 11)",uniform_lower_diagonal,1,smart,19.923354,0.454906,3
107,"(6, 0)",sentence_position_preference,1,smart,21.925619,0.45206,3
108,"(4, 1)",initial_token_reference_attention,1,smart,23.154274,0.483801,3
109,"(4, 9)",sentence_position_preference,1,smart,25.020502,0.51445,3
110,"(8, 4)",token_reinforcement,1,smart,25.001332,0.523706,3
111,"(2, 0)",uniform_lower_diagonal,1,smart,25.281125,0.562639,3
112,"(5, 4)",token_reinforcement,1,smart,26.963701,0.597263,3
113,"(1, 9)",uniform_lower_diagonal,1,smart,27.800663,0.619979,3
114,"(8, 8)",token_reinforcement,1,smart,30.099955,0.644384,3
115,"(3, 1)",initial_token_reference_attention,1,smart,32.877613,0.71936,3
116,"(3, 6)",uniform_lower_diagonal,1,smart,35.723836,0.830227,3
117,"(9, 10)",token_reinforcement,1,smart,36.801594,0.881807,3
118,"(4, 3)",initial_token_reference_attention,1,smart,39.01372,0.899454,3
119,"(1, 1)",uniform_lower_diagonal,1,smart,40.906242,0.926974,3
120,"(5, 8)",token_reinforcement,1,smart,45.668881,0.974754,3
121,"(8, 2)",token_reinforcement,1,smart,46.450195,1.002253,3
122,"(4, 0)",initial_token_reference_attention,1,smart,50.657749,1.046072,3
123,"(2, 11)",token_reinforcement,1,smart,54.551366,1.031769,3
124,"(6, 11)",token_reinforcement,1,smart,56.964468,1.080184,3
125,"(10, 4)",token_reinforcement,1,smart,58.480615,1.112391,3
126,"(3, 7)",previous_attention,1,smart,63.480647,1.164294,3
