k,head,program,strategy,increase,spike
1,"(0, 1)",parenthetical_insertion,smart,0.13102526434330827,False
2,"(0, 0)",parenthetical_insertion,smart,0.11252338668443355,False
3,"(0, 2)",previous_attention,smart,-0.004103617201507803,False
4,"(0, 4)",parenthetical_insertion,smart,-0.03506408131509735,False
5,"(0, 5)",parenthetical_insertion,smart,-0.22917366686263688,False
6,"(0, 3)",previous_attention,smart,-0.1524395099612752,False
7,"(0, 8)",parenthetical_insertion,smart,-0.08141004049849684,False
8,"(0, 7)",parenthetical_insertion,smart,-0.11301072117046715,False
9,"(0, 10)",next_attention,smart,0.7890847549033811,False
10,"(0, 6)",parenthetical_insertion,smart,0.903566827990006,False
11,"(1, 1)",next_attention,smart,6.425218237104413,False
12,"(0, 11)",relative_position_attention,smart,6.65819936844847,False
13,"(0, 9)",relative_position_attention,smart,6.453607936442185,False
14,"(1, 2)",relative_position_attention,smart,6.1854200781858655,False
15,"(1, 0)",relative_position_attention,smart,6.25725718858881,False
16,"(1, 3)",relative_position_attention,smart,6.450065283035469,False
17,"(1, 4)",previous_attention,smart,15.407833434657118,False
18,"(1, 7)",appositive_phrase_attention,smart,15.455568387779545,False
19,"(1, 5)",relative_position_attention,smart,15.601524794106913,False
20,"(1, 11)",relative_position_attention,smart,16.46253979567939,False
21,"(1, 9)",relative_position_attention,smart,16.844114015264076,False
22,"(1, 10)",sentence_position_preference,smart,17.060206398370237,False
23,"(1, 8)",relative_position_attention,smart,17.255027262706932,False
24,"(2, 2)",sentence_level_attention,smart,18.898745021947853,False
25,"(2, 1)",sentence_level_attention,smart,20.134774372087797,False
26,"(2, 4)",relative_position_attention,smart,20.665747907085606,False
27,"(2, 3)",relative_position_attention,smart,22.786738313081592,False
28,"(2, 5)",relative_position_attention,smart,23.77045175979136,False
29,"(2, 6)",lexical_diversity_focus,smart,23.714165128055377,False
30,"(2, 8)",relative_position_attention,smart,25.60978084849635,False
31,"(2, 11)",appositive_phrase_attention,smart,27.162559370160288,False
32,"(3, 1)",relative_position_attention,smart,27.105589933170485,False
33,"(2, 7)",relative_position_attention,smart,28.754114316857248,False
34,"(3, 2)",relative_position_attention,smart,27.838016834741495,False
35,"(2, 10)",relative_position_attention,smart,31.4596364063993,False
36,"(3, 0)",relative_position_attention,smart,31.34048069182628,False
37,"(3, 3)",relative_position_attention,smart,35.26789247124949,False
38,"(3, 8)",relative_position_attention,smart,35.1307319602205,False
39,"(3, 4)",relative_position_attention,smart,35.36310129613895,False
40,"(3, 6)",relative_position_attention,smart,35.589676456245364,False
41,"(3, 7)",relative_position_attention,smart,35.3178958502357,False
42,"(3, 9)",next_attention,smart,85.11815081136335,False
43,"(3, 10)",relative_position_attention,smart,86.11610297275091,False
44,"(4, 1)",parenthetical_insertion,smart,85.94992895552502,False
45,"(4, 0)",emphasize_verbs_and_objects,smart,86.31127899867712,False
46,"(3, 11)",sentence_position_preference,smart,103.65311640168525,False
47,"(4, 3)",emphasize_verbs_and_objects,smart,100.56040019484435,False
48,"(4, 4)",emphasize_verbs_and_objects,smart,103.46866517059182,False
49,"(4, 2)",emphasize_verbs_and_objects,smart,111.46313978343252,False
50,"(4, 5)",emphasize_verbs_and_objects,smart,124.32085980311899,False
51,"(4, 8)",emphasize_verbs_and_objects,smart,123.44847246003012,False
52,"(4, 6)",emphasize_verbs_and_objects,smart,127.79323169327992,False
53,"(4, 9)",relative_position_attention,smart,129.88963246390955,False
54,"(4, 7)",emphasize_verbs_and_objects,smart,136.70948479381272,False
55,"(4, 10)",emphasize_verbs_and_objects,smart,142.04747252601982,False
56,"(5, 0)",emphasize_verbs_and_objects,smart,146.35144046642637,False
57,"(5, 2)",emphasize_verbs_and_objects,smart,145.89267640899703,False
58,"(5, 3)",emphasize_verbs_and_objects,smart,155.84324540715176,False
59,"(5, 1)",emphasize_verbs_and_objects,smart,156.05557739933656,False
60,"(5, 4)",relative_position_attention,smart,153.63575629223413,False
61,"(5, 6)",emphasize_verbs_and_objects,smart,173.14989364976853,False
62,"(5, 5)",emphasize_verbs_and_objects,smart,168.95167299241564,False
63,"(5, 8)",sentence_initial_dominance,smart,196.92114028962118,False
64,"(6, 2)",emphasize_verbs_and_objects,smart,212.79180409751916,False
65,"(5, 7)",emphasize_verbs_and_objects,smart,230.40140115479676,False
66,"(5, 10)",coordination_attention,smart,255.69282596579592,False
67,"(6, 0)",emphasize_verbs_and_objects,smart,275.93510563788163,False
68,"(5, 11)",emphasize_verbs_and_objects,smart,295.1490043945813,False
69,"(6, 7)",relative_position_attention,smart,289.85856109407257,False
70,"(6, 1)",emphasize_verbs_and_objects,smart,331.2164714097804,False
71,"(6, 4)",emphasize_verbs_and_objects,smart,340.0102943652088,False
72,"(6, 5)",sentence_initial_dominance,smart,339.647823755039,False
73,"(6, 3)",emphasize_verbs_and_objects,smart,356.7673586256601,False
74,"(6, 6)",emphasize_verbs_and_objects,smart,367.59257759153763,False
75,"(6, 8)",emphasize_verbs_and_objects,smart,342.6323404783416,False
76,"(6, 9)",emphasize_verbs_and_objects,smart,377.7069808160645,False
77,"(7, 0)",relative_position_attention,smart,393.807582982961,False
78,"(7, 1)",emphasize_verbs_and_objects,smart,411.8415973191808,False
79,"(7, 4)",previous_attention,smart,446.1767248816033,False
80,"(7, 3)",emphasize_verbs_and_objects,smart,480.873719102831,False
81,"(7, 2)",emphasize_verbs_and_objects,smart,497.4807570657126,False
82,"(7, 5)",emphasize_verbs_and_objects,smart,507.65809424441505,False
83,"(7, 6)",emphasize_verbs_and_objects,smart,533.0095172722082,False
84,"(7, 8)",punctuation_attention,smart,569.5758975511849,False
85,"(7, 11)",emphasize_verbs_and_objects,smart,591.743676919041,False
86,"(7, 10)",emphasize_verbs_and_objects,smart,621.0406391106486,False
87,"(8, 0)",emphasize_verbs_and_objects,smart,625.1811874078114,False
88,"(8, 1)",emphasize_verbs_and_objects,smart,635.7598055070541,False
89,"(8, 2)",emphasize_verbs_and_objects,smart,627.1036532283872,False
90,"(8, 3)",emphasize_verbs_and_objects,smart,669.6932953723078,False
91,"(8, 6)",emphasize_verbs_and_objects,smart,713.6859526006758,False
92,"(8, 7)",relative_position_attention,smart,726.2632874741471,False
