k,head,program,strategy,increase,kl_div,spike
1,"(5, 1)",cls_attention,smart,0.5649295062329143,0.0016699863830581308,False
2,"(7, 2)",initial_element_reinforcement,smart,0.5649295062329143,0.0016699863830581308,False
3,"(6, 9)",initial_element_reinforcement,smart,0.5649295062329143,0.0016699863830581308,False
4,"(4, 11)",previous_attention,smart,1.4040812984567823,0.0022838733857497573,False
5,"(10, 10)",sentence_beginning_salience,smart,1.8774919871144315,0.0040292054880410435,False
6,"(9, 9)",sentence_beginning_salience,smart,1.8558669911668353,0.005337189789861441,False
7,"(10, 8)",sentence_beginning_salience,smart,1.8055133540070514,0.006557811610400676,False
8,"(9, 6)",sentence_beginning_salience,smart,2.0106506322428563,0.008402509521692992,False
9,"(10, 1)",sentence_beginning_salience,smart,2.7259940849027062,0.009914616215974092,False
10,"(7, 10)",sentence_beginning_salience,smart,3.5498482624394816,0.011115331389009952,False
11,"(9, 11)",sentence_beginning_salience,smart,3.6438971982227635,0.01232584472745657,False
12,"(3, 0)",sentence_beginning_salience,smart,4.232775735045678,0.014053805731236935,False
13,"(8, 1)",sentence_beginning_salience,smart,5.324081698695904,0.016923345066606997,False
14,"(10, 6)",sentence_beginning_salience,smart,5.796457592502517,0.021365542337298392,False
15,"(9, 1)",sentence_beginning_salience,smart,6.709755500763916,0.02333476897329092,False
16,"(11, 9)",sentence_beginning_salience,smart,7.346470290044415,0.024397873692214488,False
17,"(7, 11)",sentence_beginning_salience,smart,8.315473239680134,0.0273100558668375,False
18,"(9, 4)",sentence_beginning_salience,smart,7.916592944898608,0.028748130798339842,False
19,"(5, 5)",sentence_beginning_salience,smart,7.740018154126986,0.030107113346457482,False
20,"(0, 1)",lexical_diversity_focus,smart,7.746418969563064,0.029812173545360567,False
21,"(10, 2)",sentence_beginning_salience,smart,7.907721475080754,0.032323505729436874,False
22,"(6, 10)",sentence_beginning_salience,smart,7.925523249233956,0.03890868425369263,False
23,"(11, 5)",sentence_beginning_salience,smart,7.726128271442327,0.04025423601269722,False
24,"(3, 4)",sentence_beginning_salience,smart,8.248472189352215,0.04298516437411308,False
25,"(7, 7)",sentence_beginning_salience,smart,8.585593309324235,0.04658688232302666,False
26,"(5, 9)",sentence_beginning_salience,smart,9.124689151615495,0.06027347445487976,False
27,"(10, 0)",sentence_beginning_salience,smart,9.31147471845387,0.06550427675247192,False
28,"(5, 0)",sentence_beginning_salience,smart,10.498787368447433,0.07118158638477326,False
29,"(8, 11)",sentence_beginning_salience,smart,10.907630254909266,0.06739101186394691,False
30,"(4, 10)",token_reinforcement,smart,11.640723124526422,0.08391928300261497,False
31,"(7, 1)",sentence_beginning_salience,smart,12.361546455167348,0.08663905635476113,False
32,"(9, 5)",token_reinforcement,smart,12.3764518908798,0.07703795805573463,False
33,"(10, 3)",sentence_beginning_salience,smart,12.19550890346313,0.0822654739022255,False
34,"(8, 3)",token_reinforcement,smart,11.959631680112668,0.08522691056132317,False
35,"(6, 6)",token_reinforcement,smart,12.068720377673433,0.08541064709424973,False
36,"(0, 9)",uniform_lower_diagonal,smart,12.486274044643972,0.08061069920659066,False
37,"(9, 8)",sentence_beginning_salience,smart,12.62339420011568,0.08528480306267738,False
38,"(8, 0)",token_reinforcement,smart,13.293347787546349,0.09153968915343284,False
39,"(11, 7)",token_reinforcement,smart,13.028890909271059,0.10312577933073044,False
40,"(7, 6)",token_reinforcement,smart,13.757424413667973,0.10268654674291611,False
41,"(11, 1)",token_reinforcement,smart,13.790184809776576,0.11582735776901246,False
42,"(0, 5)",lexical_diversity_focus,smart,13.746115371960112,0.11431409120559692,False
43,"(6, 2)",token_reinforcement,smart,13.411599203174308,0.11592641323804856,False
44,"(0, 11)",uniform_lower_diagonal,smart,12.4611449875539,0.11243335157632828,False
45,"(8, 6)",sentence_beginning_salience,smart,13.26240457037856,0.11961593478918076,False
46,"(4, 4)",token_reinforcement,smart,14.074186573615535,0.12249394506216049,False
47,"(0, 3)",rare_word_dominance,smart,14.074138237197706,0.12365230321884155,False
48,"(9, 0)",token_reinforcement,smart,15.116174399436039,0.12949349582195283,False
49,"(4, 2)",token_reinforcement,smart,14.841827843466927,0.1369437977671623,False
50,"(10, 11)",token_reinforcement,smart,15.227418206564513,0.14001598060131074,False
51,"(9, 2)",token_reinforcement,smart,14.744418976612986,0.14030108004808425,False
52,"(4, 8)",token_reinforcement,smart,15.893919745479561,0.14174282252788545,False
53,"(10, 7)",token_reinforcement,smart,16.56886278466036,0.15728771090507507,False
54,"(11, 4)",token_reinforcement,smart,16.32937728255094,0.1709304615855217,False
55,"(8, 9)",token_reinforcement,smart,16.790652536304336,0.1743512749671936,False
56,"(5, 6)",token_reinforcement,smart,17.74583776499361,0.19443195462226867,False
57,"(0, 10)",uniform_lower_diagonal,smart,17.935085065527197,0.19130580723285676,False
58,"(5, 11)",initial_token_reference_attention,smart,18.781933228667015,0.19533282965421678,False
59,"(5, 8)",token_reinforcement,smart,20.216219794369913,0.2153974860906601,False
60,"(6, 3)",token_reinforcement,smart,20.408556975423732,0.23504692763090135,False
61,"(10, 5)",sentence_beginning_salience,smart,20.224870919232373,0.24304557144641875,False
62,"(9, 7)",token_reinforcement,smart,20.310937515633757,0.2581800907850266,False
63,"(1, 10)",uniform_lower_diagonal,smart,20.40220889790955,0.25606282651424406,False
64,"(3, 10)",initial_token_reference_attention,smart,21.25332342441886,0.2749342918395996,False
65,"(6, 1)",token_reinforcement,smart,22.248523047708648,0.2636833921074867,False
66,"(7, 4)",sentence_beginning_salience,smart,23.743329756486247,0.24545549154281615,False
67,"(2, 11)",token_reinforcement,smart,22.91968367597199,0.23478706777095795,False
68,"(2, 7)",uniform_lower_diagonal,smart,22.898964258969034,0.23340151458978653,False
69,"(11, 0)",uniform_lower_diagonal,smart,23.138473752384076,0.23834875077009202,False
70,"(8, 10)",token_reinforcement,smart,24.494998200264128,0.25201659798622134,False
71,"(7, 9)",token_reinforcement,smart,25.486365495792974,0.2511205554008484,False
72,"(6, 4)",initial_token_reference_attention,smart,26.066838543461074,0.25821434855461123,False
73,"(5, 7)",token_reinforcement,smart,26.166151195352825,0.2821678400039673,False
74,"(0, 2)",uniform_lower_diagonal,smart,26.279000836756147,0.28619654178619386,False
75,"(1, 8)",uniform_lower_diagonal,smart,26.482390097542822,0.2827671006321907,False
76,"(6, 5)",token_reinforcement,smart,26.102209286424777,0.29214996546506883,False
77,"(1, 11)",lexical_diversity_focus,smart,25.998762383545728,0.2942631125450134,False
78,"(10, 9)",token_reinforcement,smart,27.75094870736877,0.3056916743516922,False
79,"(1, 7)",uniform_lower_diagonal,smart,27.65764254058282,0.2998006224632263,False
80,"(11, 10)",initial_token_reference_attention,smart,28.534773444214085,0.3054016172885895,False
81,"(7, 3)",token_reinforcement,smart,28.736168760493193,0.33855712562799456,False
82,"(2, 1)",token_reinforcement,smart,29.436159336031615,0.3317863970994949,False
83,"(2, 10)",uniform_lower_diagonal,smart,30.092427581044497,0.3330734044313431,False
84,"(0, 0)",uniform_lower_diagonal,smart,30.115965853594503,0.3267276495695114,False
85,"(10, 4)",token_reinforcement,smart,31.25606071252623,0.3366297036409378,False
86,"(1, 4)",uniform_lower_diagonal,smart,31.90413836853319,0.33424765765666964,False
