k,head,program,accepted_rank,strategy,increase,kl_div,shuffle_idx
1,"(10, 2)",initial_token_attention,1,smart,0.0083077121974303,0.0010652532906533,18
2,"(10, 1)",initial_token_attention,1,smart,0.0086151012889746,0.0020113895157282,18
3,"(6, 9)",cls_attention,1,smart,-0.6633480896656324,0.0035132152349979,18
4,"(5, 1)",cls_attention,1,smart,-0.6251862761961215,0.0060475473920814,18
5,"(7, 2)",cls_attention,1,smart,-0.460792145148411,0.0074810902934405,18
6,"(4, 11)",previous_attention,1,smart,-0.1322718588934046,0.0087215613533044,18
7,"(7, 1)",initial_token_attention,1,smart,0.1771068590557415,0.010167443108512,18
8,"(11, 9)",initial_token_attention,1,smart,-0.2135142477716519,0.0127920427668141,18
9,"(10, 0)",initial_token_attention,1,smart,-0.2058038401692566,0.0146051100420299,18
10,"(11, 2)",initial_token_attention,1,smart,1.0038506419448705,0.0178802745742723,18
11,"(7, 7)",initial_token_attention,1,smart,0.9243134907948786,0.0183311772427987,18
12,"(5, 5)",initial_token_attention,1,smart,0.6361639857461907,0.0207400942401727,18
13,"(6, 6)",initial_token_attention,1,smart,0.4549912320044895,0.0223765524174086,18
14,"(10, 8)",initial_token_attention,1,smart,0.101134714981626,0.0241866845404729,18
15,"(3, 0)",initial_token_attention,1,smart,-0.0733334110827843,0.0241215188847854,18
16,"(0, 1)",repeated_attention,1,smart,-0.0822966363249952,0.0241433957172557,18
17,"(9, 6)",initial_token_attention,1,smart,0.0839775504555285,0.0252819866256322,18
18,"(9, 9)",sentence_start_dominance,1,smart,0.2021487951474977,0.0283463769988156,18
19,"(9, 5)",sentence_initial_dominance,1,smart,-1.720343203993684,0.0281432828877586,18
20,"(8, 1)",initial_token_attention,1,smart,-1.9935828405133864,0.0322866465407423,18
21,"(10, 10)",initial_token_attention,1,smart,-1.8115494947969548,0.0338068508962169,18
22,"(9, 11)",initial_token_attention,1,smart,-1.492048024781801,0.0344391455722507,18
23,"(3, 4)",initial_token_attention,1,smart,-1.6696160646077265,0.0362357958825305,18
24,"(11, 7)",initial_token_attention,1,smart,-0.7344831094723496,0.0396111746504902,18
25,"(11, 5)",initial_token_attention,1,smart,-0.2976022499177347,0.0433203779207542,18
26,"(9, 4)",initial_token_attention,1,smart,-0.3462717356001825,0.0438093335588928,18
27,"(7, 10)",initial_token_attention,1,smart,-0.1648400476295224,0.0446127126924693,18
28,"(6, 10)",initial_token_attention,1,smart,0.0257492291136026,0.049316759428475,18
29,"(9, 8)",sentence_initial_dominance,1,smart,-1.440972483437424,0.0490389868686907,18
30,"(10, 6)",initial_token_attention,1,smart,-1.36646972737408,0.0513438879372552,18
31,"(11, 1)",sentence_initial_dominance,1,smart,-3.045613352144548,0.05134594717063,18
32,"(7, 11)",initial_token_attention,1,smart,-2.9486139101015043,0.0545547189190983,18
33,"(6, 2)",sentence_initial_dominance,1,smart,-4.1299547629687,0.0547539398795925,18
34,"(7, 6)",sentence_initial_dominance,1,smart,-5.068048806331123,0.0544238592172041,18
35,"(8, 3)",initial_token_attention,1,smart,-4.902484822870978,0.0567541138152591,18
36,"(5, 9)",sentence_initial_dominance,1,smart,-5.571243742067339,0.056279577629175,18
37,"(10, 3)",sentence_initial_dominance,1,smart,-7.450234561946978,0.0559232397237792,18
38,"(5, 0)",initial_token_attention,1,smart,-7.127710350251196,0.0602457805001176,18
39,"(8, 11)",sentence_initial_dominance,1,smart,-8.657863908075072,0.0603198929037898,18
40,"(9, 1)",initial_token_attention,1,smart,-8.464149821736362,0.0637275032047182,18
41,"(8, 0)",sentence_initial_dominance,1,smart,-10.026851892198312,0.0629787814687006,18
42,"(4, 10)",initial_token_attention,1,smart,-9.929107592011958,0.0653556691482663,18
43,"(0, 0)",uniform_lower_diagonal,1,smart,-4.991265,0.088425,18
44,"(11, 3)",token_reinforcement,1,smart,-4.80116,0.090946,18
45,"(7, 0)",token_reinforcement,1,smart,-3.974715,0.095451,18
46,"(7, 4)",sentence_beginning_salience,1,smart,-3.383139,0.09209,18
47,"(5, 10)",token_reinforcement,1,smart,-2.506492,0.105913,18
48,"(0, 11)",uniform_lower_diagonal,1,smart,-2.674221,0.102126,18
49,"(10, 7)",token_reinforcement,1,smart,-2.458384,0.111657,18
50,"(2, 11)",token_reinforcement,1,smart,-2.423315,0.109604,18
51,"(11, 10)",initial_token_reference_attention,1,smart,-1.922879,0.11162,18
52,"(7, 3)",token_reinforcement,1,smart,-1.912534,0.123573,18
53,"(6, 4)",initial_token_reference_attention,1,smart,-1.598805,0.124703,18
54,"(2, 10)",uniform_lower_diagonal,1,smart,-1.421458,0.126111,18
55,"(6, 3)",token_reinforcement,1,smart,-0.704812,0.138848,18
56,"(10, 5)",sentence_beginning_salience,1,smart,-0.942593,0.143303,18
57,"(1, 4)",uniform_lower_diagonal,1,smart,-0.537546,0.142783,18
58,"(9, 2)",token_reinforcement,1,smart,-0.584165,0.142476,18
59,"(4, 2)",token_reinforcement,1,smart,-0.42447,0.15365,18
60,"(6, 7)",token_reinforcement,1,smart,0.802562,0.161945,18
61,"(11, 4)",token_reinforcement,1,smart,0.332528,0.162754,18
62,"(10, 4)",token_reinforcement,1,smart,0.818243,0.171621,18
63,"(1, 8)",uniform_lower_diagonal,1,smart,0.729794,0.170286,18
64,"(1, 7)",uniform_lower_diagonal,1,smart,0.729181,0.162447,18
65,"(0, 8)",uniform_lower_diagonal,1,smart,0.13965,0.165866,18
66,"(3, 5)",token_reinforcement,1,smart,0.814224,0.172639,18
67,"(5, 4)",token_reinforcement,1,smart,1.603191,0.189725,18
68,"(8, 6)",sentence_beginning_salience,1,smart,1.342679,0.19048,18
69,"(1, 1)",uniform_lower_diagonal,1,smart,1.781769,0.193226,18
70,"(8, 10)",token_reinforcement,1,smart,2.396681,0.211307,18
71,"(1, 10)",uniform_lower_diagonal,1,smart,2.282972,0.212854,18
72,"(2, 1)",token_reinforcement,1,smart,2.604585,0.203554,18
73,"(2, 0)",uniform_lower_diagonal,1,smart,2.290863,0.202915,18
74,"(1, 11)",lexical_diversity_focus,1,smart,2.277989,0.205585,18
75,"(8, 4)",token_reinforcement,1,smart,2.385599,0.20054,18
76,"(8, 2)",token_reinforcement,1,smart,2.37407,0.204024,18
77,"(8, 7)",token_reinforcement,1,smart,3.210552,0.20856,18
78,"(7, 9)",token_reinforcement,1,smart,4.274915,0.211896,18
